rule,total_recs,accepted,modified,rejected,acceptance_rate,outcomes_measured,successes,failures,success_rate,confidence_adj,mode,scenario
R06_PurityDeviation,4,2,0,2,0.5,2,2,0,1.0,1.0,advisor,normal
R02_FeedComposition,2,2,0,0,1.0,0,0,0,0.0,1.0,advisor,normal
R06_PurityDeviation,15,13,0,2,0.8666666666666667,13,13,0,1.0,1.4333333333333333,advisor,thermal_drift
R02_FeedComposition,13,10,0,3,0.7692307692307693,8,8,0,1.0,1.3846153846153846,advisor,thermal_drift
R01_ThermalDrift,4,3,1,0,1.0,4,4,0,1.0,1.0,advisor,thermal_drift
R04_ColumnEfficiencyLoss,1,1,0,0,1.0,1,1,0,1.0,1.0,advisor,thermal_drift
R06_PurityDeviation,3,2,0,1,0.6666666666666666,2,2,0,1.0,1.0,advisor,feed_perturbation
R02_FeedComposition,3,3,0,0,1.0,2,2,0,1.0,1.0,advisor,feed_perturbation
R01_ThermalDrift,2,2,0,0,1.0,2,2,0,1.0,1.0,advisor,feed_perturbation
R03_ControllerOscillation,17,16,0,1,0.9411764705882353,16,16,0,1.0,1.4705882352941178,advisor,reactor_instability
R06_PurityDeviation,4,3,0,1,0.75,3,3,0,1.0,1.0,advisor,reactor_instability
R06_PurityDeviation,5,4,1,0,1.0,5,5,0,1.0,1.5,advisor,quality_degradation
R02_FeedComposition,3,3,0,0,1.0,3,3,0,1.0,1.0,advisor,quality_degradation
R08_ProductTransition,20,8,0,12,0.4,8,8,0,1.0,1.2,advisor,energy_waste
R05_ExcessReflux,1,1,0,0,1.0,1,1,0,1.0,1.0,advisor,energy_waste
R08_ProductTransition,14,4,0,10,0.2857142857142857,4,4,0,1.0,1.1428571428571428,advisor,product_grade_change
R06_PurityDeviation,1,1,0,0,1.0,1,1,0,1.0,1.0,advisor,product_grade_change
R02_FeedComposition,1,1,0,0,1.0,0,0,0,0.0,1.0,advisor,product_grade_change
R07_SensorFault,4,4,0,0,1.0,4,4,0,1.0,1.0,advisor,sensor_failure
R06_PurityDeviation,4,4,0,0,1.0,4,4,0,1.0,1.0,advisor,sensor_failure
R02_FeedComposition,4,4,0,0,1.0,0,0,0,0.0,1.0,advisor,sensor_failure
R06_PurityDeviation,4,3,1,0,1.0,4,4,0,1.0,1.0,semi_autonomous,normal
R02_FeedComposition,2,2,0,0,1.0,0,0,0,0.0,1.0,semi_autonomous,normal
R06_PurityDeviation,15,9,3,3,0.8,12,12,0,1.0,1.4,semi_autonomous,thermal_drift
R02_FeedComposition,13,13,0,0,1.0,8,8,0,1.0,1.5,semi_autonomous,thermal_drift
R01_ThermalDrift,4,2,2,0,1.0,4,4,0,1.0,1.0,semi_autonomous,thermal_drift
R04_ColumnEfficiencyLoss,1,0,0,1,0.0,0,0,0,0.0,1.0,semi_autonomous,thermal_drift
R06_PurityDeviation,3,2,0,1,0.6666666666666666,2,2,0,1.0,1.0,semi_autonomous,feed_perturbation
R02_FeedComposition,3,3,0,0,1.0,2,2,0,1.0,1.0,semi_autonomous,feed_perturbation
R01_ThermalDrift,2,2,0,0,1.0,2,2,0,1.0,1.0,semi_autonomous,feed_perturbation
R03_ControllerOscillation,17,13,0,4,0.7647058823529411,13,13,0,1.0,1.3823529411764706,semi_autonomous,reactor_instability
R06_PurityDeviation,4,2,1,1,0.75,3,3,0,1.0,1.0,semi_autonomous,reactor_instability
R06_PurityDeviation,5,4,0,1,0.8,4,4,0,1.0,1.0,semi_autonomous,quality_degradation
R02_FeedComposition,3,2,0,1,0.6666666666666666,2,2,0,1.0,1.0,semi_autonomous,quality_degradation
R08_ProductTransition,20,13,0,7,0.65,12,12,0,1.0,1.325,semi_autonomous,energy_waste
R05_ExcessReflux,1,1,0,0,1.0,1,1,0,1.0,1.0,semi_autonomous,energy_waste
R08_ProductTransition,14,3,0,11,0.21428571428571427,3,3,0,1.0,1.1071428571428572,semi_autonomous,product_grade_change
R06_PurityDeviation,1,1,0,0,1.0,1,1,0,1.0,1.0,semi_autonomous,product_grade_change
R02_FeedComposition,1,1,0,0,1.0,0,0,0,0.0,1.0,semi_autonomous,product_grade_change
R07_SensorFault,4,4,0,0,1.0,4,4,0,1.0,1.0,semi_autonomous,sensor_failure
R06_PurityDeviation,4,3,0,1,0.75,3,3,0,1.0,1.0,semi_autonomous,sensor_failure
R02_FeedComposition,4,4,0,0,1.0,0,0,0,0.0,1.0,semi_autonomous,sensor_failure
R06_PurityDeviation,4,3,0,1,0.75,3,3,0,1.0,1.0,autonomous_supervised,normal
R02_FeedComposition,2,2,0,0,1.0,0,0,0,0.0,1.0,autonomous_supervised,normal
R06_PurityDeviation,15,8,5,2,0.8666666666666667,13,13,0,1.0,1.4333333333333333,autonomous_supervised,thermal_drift
R02_FeedComposition,13,10,1,2,0.8461538461538461,7,7,0,1.0,1.4230769230769231,autonomous_supervised,thermal_drift
R01_ThermalDrift,4,2,1,1,0.75,3,3,0,1.0,1.0,autonomous_supervised,thermal_drift
R04_ColumnEfficiencyLoss,1,1,0,0,1.0,1,1,0,1.0,1.0,autonomous_supervised,thermal_drift
R06_PurityDeviation,3,1,0,2,0.3333333333333333,1,1,0,1.0,1.0,autonomous_supervised,feed_perturbation
R02_FeedComposition,3,3,0,0,1.0,2,2,0,1.0,1.0,autonomous_supervised,feed_perturbation
R01_ThermalDrift,2,2,0,0,1.0,2,2,0,1.0,1.0,autonomous_supervised,feed_perturbation
R03_ControllerOscillation,17,12,0,5,0.7058823529411765,12,12,0,1.0,1.3529411764705883,autonomous_supervised,reactor_instability
R06_PurityDeviation,4,3,0,1,0.75,3,3,0,1.0,1.0,autonomous_supervised,reactor_instability
R06_PurityDeviation,5,4,1,0,1.0,5,5,0,1.0,1.5,autonomous_supervised,quality_degradation
R02_FeedComposition,3,2,0,1,0.6666666666666666,2,2,0,1.0,1.0,autonomous_supervised,quality_degradation
R08_ProductTransition,20,8,0,12,0.4,8,8,0,1.0,1.2,autonomous_supervised,energy_waste
R05_ExcessReflux,1,0,0,0,0.0,1,1,0,1.0,1.0,autonomous_supervised,energy_waste
R08_ProductTransition,14,5,0,9,0.35714285714285715,5,5,0,1.0,1.1785714285714286,autonomous_supervised,product_grade_change
R06_PurityDeviation,1,1,0,0,1.0,1,1,0,1.0,1.0,autonomous_supervised,product_grade_change
R02_FeedComposition,1,1,0,0,1.0,0,0,0,0.0,1.0,autonomous_supervised,product_grade_change
R07_SensorFault,4,4,0,0,1.0,4,4,0,1.0,1.0,autonomous_supervised,sensor_failure
R06_PurityDeviation,4,4,0,0,1.0,4,4,0,1.0,1.0,autonomous_supervised,sensor_failure
R02_FeedComposition,4,4,0,0,1.0,0,0,0,0.0,1.0,autonomous_supervised,sensor_failure
