mode,scenario,n_recs,n_accepted,n_modified,n_rejected,n_auto,n_executions,n_outcomes,mean_quality,acceptance_rate
advisor,normal,6,4,0,2,0,4,2,1.0,0.6666666666666666
advisor,thermal_drift,33,27,1,5,0,28,26,1.0,0.8484848484848485
advisor,feed_perturbation,8,7,0,1,0,7,6,1.0,0.875
advisor,reactor_instability,21,19,0,2,0,19,19,1.0,0.9047619047619048
advisor,quality_degradation,8,7,1,0,0,8,8,1.0,1.0
advisor,energy_waste,21,9,0,12,0,9,9,0.5555555555555556,0.42857142857142855
advisor,product_grade_change,16,6,0,10,0,6,5,0.6,0.375
advisor,sensor_failure,12,12,0,0,0,12,8,0.75,1.0
semi_autonomous,normal,6,5,1,0,0,6,4,1.0,1.0
semi_autonomous,thermal_drift,33,24,5,4,0,29,24,1.0,0.8787878787878788
semi_autonomous,feed_perturbation,8,7,0,1,0,7,6,1.0,0.875
semi_autonomous,reactor_instability,21,15,1,5,0,16,16,1.0,0.7619047619047619
semi_autonomous,quality_degradation,8,6,0,2,0,6,6,1.0,0.75
semi_autonomous,energy_waste,21,14,0,7,0,14,13,0.5384615384615384,0.6666666666666666
semi_autonomous,product_grade_change,16,5,0,11,0,5,4,0.625,0.3125
semi_autonomous,sensor_failure,12,11,0,1,0,11,7,0.7142857142857143,0.9166666666666666
autonomous_supervised,normal,6,5,0,1,0,5,3,1.0,0.8333333333333334
autonomous_supervised,thermal_drift,33,21,7,5,0,28,24,1.0,0.8484848484848485
autonomous_supervised,feed_perturbation,8,6,0,2,0,6,5,1.0,0.75
autonomous_supervised,reactor_instability,21,15,0,6,0,15,15,1.0,0.7142857142857143
autonomous_supervised,quality_degradation,8,6,1,1,0,7,7,1.0,0.875
autonomous_supervised,energy_waste,21,8,0,12,1,9,9,0.5555555555555556,0.42857142857142855
autonomous_supervised,product_grade_change,16,7,0,9,0,7,6,0.5833333333333334,0.4375
autonomous_supervised,sensor_failure,12,12,0,0,0,12,8,0.75,1.0
